id,title,code
189,Saint-Martin (French part),MAF
190,Saint Pierre and Miquelon,SPM
191,Saint Vincent and Grenadines,VCT
192,Samoa,WSM
193,San Marino,SMR
194,Sao Tome and Principe,STP
195,Saudi Arabia,SAU
196,Senegal,SEN
197,Serbia,SRB
198,Seychelles,SYC
199,Sierra Leone,SLE
200,Singapore,SGP
201,Slovakia,SVK
202,Slovenia,SVN
203,Solomon Islands,SLB
204,Somalia,SOM
205,South Africa,ZAF
206,South Georgia and the South Sandwich Islands,SGS
207,South Sudan,SSD
208,Spain,ESP
209,Sri Lanka,LKA
210,Sudan,SDN
211,Suriname,SUR
212,Svalbard and Jan Mayen Islands,SJM
213,Swaziland,SWZ
214,Sweden,SWE
215,Switzerland,CHE
216,Syrian Arab Republic (Syria),SYR
217,Taiwan,TWN
218,Tajikistan,TJK
219,Tanzania,TZA
220,Thailand,THA
221,Timor-Leste,TLS
222,Togo,TGO
223,Tokelau,TKL
224,Tonga,TON
225,Trinidad and Tobago,TTO
226,Tunisia,TUN
227,Turkey,TUR
228,Turkmenistan,TKM
229,Turks and Caicos Islands,TCA
230,Tuvalu,TUV
231,Uganda,UGA
232,Ukraine,UKR
233,United Arab Emirates,ARE
234,United Kingdom,GBR
235,United States of America,USA
236,US Minor Outlying Islands,UMI
237,Uruguay,URY
238,Uzbekistan,UZB
239,Vanuatu,VUT
240,Venezuela (Bolivarian Republic),VEN
241,Viet Nam,VNM
242,Virgin Islands,VIR
243,Wallis and Futuna Islands,WLF
244,Western Sahara,ESH
245,Yemen,YEM
246,Zambia,ZMB
247,Zimbabwe,ZWE
